Sr No,Date dd/mm/yyyy,StartupName,Industry Vertical,SubVertical,CityLocation,CityCode,InvestorsName,InvestmentnType,AmountUSD,Remarks
1,9/1/2020,BYJU’S,E-Tech,E-learning,Bengaluru,1,Tiger Global Management,Private Equity Round,200000000,
2,13/01/2020,Shuttl,Transportation,App based shuttle service,Gurgaon,2,Susquehanna Growth Equity,Series C,8048394,
3,9/1/2020,Mamaearth,E-commerce,Retailer of baby and toddler products,Bengaluru,3,Sequoia Capital India,Series B,18358860,
4,2/1/2020,https://www.wealthbucket.in/,FinTech,Online Investment,New Delhi,4,Vinod Khatumal,Pre-series A,3000000,
5,2/1/2020,Fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,5,Sprout Venture Partners,Seed Round,1800000,
6,13/01/2020,Pando,Logistics,"Open-market, freight management platform",Chennai,6,Chiratae Ventures,Series A,9000000,
7,10/1/2020,Zomato,Hospitality,Online Food Delivery Platform,Gurgaon,7,Ant Financial,Private Equity Round,150000000,
8,12/12/2019,Ecozen,Technology,Agritech,Pune,8,Sathguru Catalyzer Advisors,Series A,6000000,
9,6/12/2019,CarDekho,E-Commerce,Automobile,Gurgaon,9,Ping An Global Voyager Fund,Series D,70000000,
10,3/12/2019,Dhruva Space,Aerospace,Satellite Communication,Bengaluru,10,"Mumbai Angels, Ravikanth Reddy",Seed,50000000,
11,13/12/2019,Rivigo,Technology,Logistics Services and Solutions,Gurgaon,11,"SAIF Partners, Spring Canter Investment Ltd.",Series F,20000000,
12,17/12/2019,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,12,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,12000000,
13,16/12/2019,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bengaluru,12,Vertex Growth Fund,Series E,30000000,
14,16/12/2019,InCred,Finance,Non-Banking Financial Company,Mumbai,13,,Debt Funding,5900000,
15,14/12/2019,Trell,Video,Experience Discovery Platform,Bengaluru,14,Ruizheng Investment,Seed Round,2000000,
16,11/12/2019,Rein Games,Gaming,Real money based gaming startup,Noida,15,Manipal Education and Medical Group (MEMG),Seed Round,50000000,
17,20/12/2019,Lenskart.com,E-Commerce,Online Eyewear Shopping Portal,Faridabad,16,SoftBank Vision Fund,Series G,231000000,
18,13/11/2019,Freshworks,Software,Business and customer engagement tools,San Francisco,17,"Sequoia, CapitalG, Accel",Series H,150000000,
19,14/11/2019,Misters,Health and wellness,Men's Health and Wellness brand,Gurgaon,18,"Sauce.vc, Rainforest Ventures",Series B,486000,
20,13/11/2019,Sunstone Eduversity Pvt. Ltd,Education,Elearning,Gurgaon,18,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed,1500000,
21,17/11/2019,Burger Singh,Food and Beverage,Indian Burger Brand,Gurgaon,18,RB Investments,Venture,1,
22,18/11/2019,Healthians,Health and Wellness,Healthcare services,Gurgaon,18,"DG Daiwa Ventures, DG Incubation",Series B,12000000,
23,15/11/2019,Ninjacart,B2B Marketing,Agritech,Bengaluru,19,Trifecta Capital Advisors,Debt Funding,26000000,
24,20/11/2019,Aye Finance,FinTech,Financial Services To MSMEs,Gurgaon,20,FinTech,Debt Funding,17411265,
25,12/11/2019,SuperGaming,Video Games,Social gaming platform,Pune,21,Dream Incubator,Seed Funding,1300000,
26,20/11/2019,Clumio,SaaS,Recovery software,"San Jose,",22,"Altimeter Capital, Sutter Hill Ventures",Series C,135000000,
27,11/11/2019,eBikeGo,Last Mile Transportation,Electric bike rental,Amritsar,23,Startup Buddy,Seed,300000,
28,19/11/2019,Digital Mall Asia,E-Commerce,Virtual e-commerce platform,Delhi,24,Amour Infrastructure,Seed Funding,220000000,
29,18/11/2019,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,25,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,15800000,
30,15/11/2019,Vogo Automotive,Last Mile Transportation,Scooter sharing app,Kormangala,26,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,283000000,
31,19/11/2019,Furtados School of Music,Education,Music Education,Tulangan,27,IAN Fund and DSG Consumer Partners,,200000000,
32,25/11/2019,Paytm,FinTech,Mobile Wallet,Noida,28,Vijay Shekhar Sharma,Funding Round,1000000000,
33,4/10/2019,Dunzo,Customer Service,Delivery Service,Bengaluru,29,Lightbox,Series D,45000000,
34,2/10/2019,Udaan,B2B,Business development,Bengaluru,29,"Altimeter Capital, DST Global",Series D,585000000,
35,21/10/2019,The Man Company,Consumer Goods,Beauty and Grooming,Gurgaon,30,Ayushmann Khurana,Corporate Round,2,
36,5/9/2019,FPL Technologies,FinTech,Financial Services,Pune,31,"Matrix Partners India, Sequoia India",Maiden Round,4500000,
37,4/9/2019,Cashflo,FinTech,Invoice discounting platform and SME lending marketplace,Mumbai,32,SAIF Partners,Series A,3300000,
38,4/9/2019,Digital F5,"Advertising, Marketing",Digital marketing firm,Mumbai,32,TIW Private Equity,Private Equity Round,6000000,
39,4/9/2019,3rdFlix,SaaS,Education Technology,Hyderabad,33,Exfinity Venture Partners,pre-series A,5000000,
40,4/9/2019,75F,IoT,Building automation system,Burnsville,34,Breakthrough Energy Ventures,Series A,18000000,
41,4/9/2019,Myelin Foundry,Information Technology,Deep-technology,Bengaluru,35,Endiya Partners,Seed,1000000,
42,4/9/2019,Atomberg Technology,Consumer Technology,"Consumer Electronics, Home Appliances",Mumbai,36,A91 Partners,Series A,10000000,
